clases;Varianza_aX;Varianza_aY;Varianza_aZ;Varianza_gX;Varianza_gY;Varianza_gZ;Suelo
290;4609995659;1843323358;0.00923216;6428323916;22558867807;8847391775;0
291;1830381768;0.07117141;0.49854664;7161480348;43616128151;8266388618;0
292;3921034357;0.0987822;2146109789;3882666886;21425429435;2645833506;0
293;5006622567;0.02230869;105068483;8271241812;24735549711;3160412352;0
294;0.04961336;0.00912009;0.34254225;3180570466;73230702181;1279478795;0
295;7152345368;1842120033;0.04114869;3981186117;59650206681;7183582919;0
296;791583.68;2009429727;1223281851;5725288741;28085050781;5553468360;0
297;4963720511;0.070795;3258539968;1414075986;30157595486;3265151243;0
298;6542412321;0.01242761;0.02345909;1383063034;17845008289;6174563494;0
299;5267543743;0.07576056;1745252794;2339884550;9290193721;4807091209;0
300;6783786744;1068501076;1191807743;3481245903;15156054621;5394432696;0
301;563075252;2466435011;0.02442309;2974945331;16806852845;4713540279;0
302;0.05795776;0.02243244;3210958536;6554011690;92780057071;2283414272;0
303;4766337232;9060161671;1020024031;10379720488;23795844878;6783621804;0
304;448177345;0.09022584;0.04689164;3995503006;21905960257;1708633209;0
305;0.11844344;0.00701116;0.32034021;4270719155;74946776467;797843537.9;0
306;5793481044;0.01746416;0.01467801;3297939295;19794764740;3257092600;0
307;4445027177;0.09815085;0.06802924;2445685072;6199472507;3195604577;0
308;1172096636;0.01597664;0.40804665;1244737807;51893140964;610328772.2;0
309;394790898;0.01004816;0.00848765;3469987146;19708537983;4602461576;0
310;4405776951;0.09106389;0.4231008;1155741444;5176212882;4098268579;0
311;3963844901;0.02707229;0.4029704;1014638166;15264239021;869043273.2;0
312;557544265;0.01566121;0.02398224;5184208118;17951838364;7443976550;0
313;4882373424;0.1351326;0.25683961;2727870326;10079347617;4616946126;0
314;3562117989;0.04779109;0.42798041;1995960613;17823213485;1190243942;0
315;3998078733;0.00301064;0.00771465;2519064317;15328080106;4399101981;0
316;3512462727;0.10175105;0.38101921;2473200062;12487749458;3747882899;0
317;484242058;0.07954901;0.29310441;1611208040;15329027824;2141324874;0
318;5216143754;0.00633916;0.00929061;5200802109;15588338018;7845494109;0
319;1759427991;0.04876625;0.37716281;4885271195;26545749319;4166100853;0
320;3936925743;0.06248689;2297208518;2949765733;11378486921;1742081986;0
321;4801657552;1009632265;0.03798364;4817857049;17923297193;8010713905;0
322;0.14672749;0.05736621;3292990953;6354487256;56660426722;7370339091;0
323;4701908521;0.07309501;1131596212;530383311.3;10618833847;1054496872;0
324;3857352362;0.02157776;191813394;2675126923;14878527560;3271293366;0
325;0.07850001;0.01519621;0.29791565;4791953808;29064808855;1857186353;0
326;4417063201;0.05899504;204855.27;1241659478;5388436415;606220459.3;0
327;397284.39;0.00584769;103872349;1324117596;15503536321;3000909157;0
328;0.07234065;0.01646664;0.32725181;3251818958;32252805083;3139029897;0
329;411633839;0.05557236;2142557181;213523040;12383004430;742788815.8;0
330;4690635057;0.00491005;0.03679284;1087795763;19057594324;4888635076;0
331;0.02706101;0.01089669;0.27690585;4254071749;60768442481;2659535321;0
332;395924871;0.02070561;1002154061;1365196132;16876970539;891887501.8;0
333;3866021185;0.03950584;9872553567;1994651665;14238256042;1686849553;0
334;0.06098704;0.02880556;9424117459;7222180022;59984908840;2126273586;0
335;3539155497;0.01068304;3488041106;1485579602;17012824817;6743141751;0
336;4123822118;0.06067569;0.04197365;599849912.3;8686981963;1506246611;0
337;0.17128776;0.01513296;0.27361305;2258233164;57947334409;919500503.6;0
338;4050520836;0.02154324;1191203939;2101586814;12242149039;2185144747;0
339;3906539708;0.10019476;0.08323404;3929141798;9517293202;3111189857;0
340;1580786427;0.03475421;0.26561321;3666720168;59445702176;3754243972;0
341;5442903068;1852679188;0.06271489;4557605345;12069795692;7089650414;0
342;5308331759;0.13038405;0.05074436;2123142682;4323180234;3234176629;0
343;1034512685;0.06213969;114526608;4628874723;44401450878;910575927.2;0
344;4312799271;0.00531016;0.00341764;1097144068;11523191991;1910315768;0
345;4645909295;0.12319469;0.07451696;2131154706;7446241422;1724185943;0
346;0.08581624;0.01290421;114142414;2399765237;29310486490;778496738.4;0
347;2907377048;0.00862649;1111377346;523024573;6273103714;544736737.2;0
